"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,36300.00,149.00,29.00,16.00,1640.00,77.00,29.00,18.00,"Delta Air Lines Inc.","DL","ABE","MDT",7,"715",1,1997,1,1,1,"F",
0.00,1.00,10500.00,46.00,16.00,0.00,0.00,260.00,125.00,111.00,"ExpressJet Airlines Inc.","RU","ABE","MHT",4,"441",1,1997,1,1,1,"F",
0.00,1.00,27780.00,110.00,44.00,0.00,1771.00,253.00,66.00,50.00,"US Airways Inc.","US","ABE","PIT",6,"620",1,1997,1,1,1,"F",
0.00,1.00,37638.00,146.00,60.00,208.00,0.00,253.00,76.00,54.00,"US Airways Inc.","US","ABE","PIT",6,"617",1,1997,1,1,1,"F",
0.00,1.00,32824.00,126.00,107.00,490.00,57.00,677.00,153.00,120.00,"US Airways Inc.","US","ABQ","LAX",6,"619",1,1997,1,1,2,"F",
0.00,1.00,75900.00,302.00,200.00,8426.00,4616.00,677.00,103.00,81.00,"Delta Air Lines Inc.","DL","ABQ","LAX",7,"760",1,1997,1,1,2,"F",
0.00,1.00,75900.00,302.00,243.00,3285.00,30.00,1552.00,194.00,173.00,"Delta Air Lines Inc.","DL","ABQ","MCO",7,"760",1,1997,1,1,4,"F",
0.00,1.00,31824.00,126.00,125.00,95.00,0.00,328.00,67.00,55.00,"US Airways Inc.","US","ABQ","PHX",6,"619",1,1997,1,1,1,"F",
0.00,1.00,26040.00,108.00,103.00,0.00,73.00,896.00,165.00,149.00,"United Air Lines Inc.","UA","ABQ","SFO",6,"616",1,1997,1,1,2,"F",
0.00,1.00,6163.00,30.00,10.00,0.00,0.00,86.00,30.00,22.00,"ExpressJet Airlines LLC","EV","ABY","MCN",4,"461",1,1997,1,1,1,"F",
0.00,1.00,6493.00,30.00,28.00,0.00,0.00,79.00,45.00,35.00,"ExpressJet Airlines LLC","EV","ABY","TLH",4,"461",1,1997,1,1,1,"F",
0.00,1.00,7200.00,19.00,0.00,0.00,0.00,45.00,30.00,16.00,"ExpressJet Airlines Inc.","RU","ACT","ILE",4,"405",1,1997,1,1,1,"F",
0.00,1.00,36576.00,56.00,10.00,101.00,584.00,1192.00,152.00,141.00,"Reeve Aleutian Airways Inc.","RV","ADK","ANC",7,"711",3,1997,1,1,3,"F",
0.00,23.00,689040.00,734.00,351.00,220368.00,8426.00,252.00,1182.00,923.00,"Alaska Airlines Inc.","AS","ADQ","ANC",6,"621",3,1997,1,1,1,"F",
0.00,1.00,10500.00,48.00,12.00,0.00,5.00,297.00,75.00,61.00,"ExpressJet Airlines Inc.","RU","AEX","MEM",4,"441",1,1997,1,1,1,"F",
0.00,1.00,7500.00,30.00,6.00,0.00,0.00,87.00,38.00,24.00,"ExpressJet Airlines Inc.","RU","AEX","MLU",4,"461",1,1997,1,1,1,"F",
0.00,1.00,47000.00,183.00,130.00,387.00,167.00,143.00,53.00,39.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"622",1,1997,1,1,1,"F",
0.00,1.00,36300.00,149.00,146.00,2086.00,600.00,143.00,70.00,56.00,"Delta Air Lines Inc.","DL","AGS","ATL",7,"715",1,1997,1,1,1,"F",
0.00,16.00,466620.00,686.00,261.00,30844.00,101559.00,71.00,431.00,301.00,"Alaska Airlines Inc.","AS","AKN","DLG",6,"621",3,1997,1,1,1,"F",
0.00,1.00,10500.00,46.00,7.00,0.00,0.00,124.00,45.00,31.00,"ExpressJet Airlines Inc.","RU","ALB","BTV",4,"441",1,1997,1,1,1,"F",
0.00,1.00,7500.00,30.00,3.00,0.00,0.00,251.00,113.00,99.00,"ExpressJet Airlines Inc.","RU","ALB","BUF",4,"461",1,1997,1,1,1,"F",
0.00,1.00,31824.00,128.00,128.00,0.00,64.00,288.00,64.00,55.00,"US Airways Inc.","US","ALB","BWI",6,"619",1,1997,1,1,1,"F",
0.00,1.00,36300.00,149.00,145.00,20.00,3584.00,288.00,70.00,55.00,"Delta Air Lines Inc.","DL","ALB","BWI",7,"715",1,1997,1,1,1,"F",
0.00,1.00,26740.00,109.00,83.00,0.00,456.00,424.00,77.00,66.00,"United Air Lines Inc.","UA","ALB","CLE",6,"620",1,1997,1,1,1,"F",
0.00,1.00,37638.00,146.00,59.00,0.00,0.00,645.00,134.00,125.00,"US Airways Inc.","US","ALB","CLT",6,"617",1,1997,1,1,2,"F",
